CustomerID,PhoneNumber,FullName_AR,FullName_EN,ZoneID,FirstOrderDate,Gender
1,01133214688,روان النجار,Rawan El-Naggar,2,2025-05-16,F
2,01156327295,عصام نصر,Essam Nasr,2,2025-06-25,M
3,01504806358,ناصر الحسيني,Nasser El-Husseini,2,2025-06-15,M
4,01052327928,سيد مرسي,Sayed Morsi,13,2024-02-07,M
5,01561612490,أحمد الشرقاوي,Ahmed El-Sharqawi,7,2024-05-19,M
6,01174862570,أميرة عبدالرحمن,Amira Abdelrahman,2,2024-06-03,F
7,01024226238,هبة البدوي,Heba El-Badawi,6,2025-05-26,F
8,01221840905,ماهر منصور,Maher Mansour,4,2025-02-12,M
9,01558120567,لارا درويش,Lara Darwish,5,2024-08-19,F
10,01136471764,ياسمين الحسيني,Yasmine El-Husseini,1,2024-10-27,F
11,01146469246,إسراء الليثي,Israa El-Leithy,14,2025-03-26,F
12,01150543246,فادي البنا,Fadi El-Banna,16,2024-08-24,M
13,01018830842,عبير الجوهري,Abeer El-Gohary,9,2025-03-30,F
14,01588994301,ماهر عوض,Maher Awad,20,2024-03-18,M
15,01258994316,خالد عوض,Khaled Awad,7,2024-06-25,M
16,01127668254,ولاء البنا,Walaa El-Banna,4,2025-04-19,F
17,01521837801,رانيا الدسوقي,Rania El-Desouky,6,2025-05-20,F
18,01209564229,شريف الشافعي,Sherif El-Shafei,28,2025-02-10,M
19,01184270633,خالد البنا,Khaled El-Banna,2,2024-06-24,M
20,01083825811,ريم صالح,Reem Saleh,15,2024-05-20,F
21,01086253999,لؤي الغزالي,Louay El-Ghazali,3,2024-02-24,M
22,01221278036,سلمى النجار,Salma El-Naggar,28,2024-04-09,F
23,01022754590,إيهاب العقاد,Ihab El-Aqqad,11,2024-01-21,M
24,01048441761,نهى فاروق,Noha Farouk,1,2024-06-16,F
25,01064938204,زينب الحسيني,Zeinab El-Husseini,16,2025-03-05,F
26,01503342916,حسن بركات,Hassan Barakat,1,2024-01-30,M
27,01204296200,هاني العطار,Hani El-Attar,9,2025-04-01,M
28,01156279158,علي حماد,Ali Hammad,3,2025-05-11,M
29,01122732428,كريم حجازي,Karim Hegazy,13,2025-05-31,M
30,01166881345,عبدالرحمن إبراهيم,Abdelrahman Ibrahim,17,2024-12-08,M
